Home,Home Points,Visitor,Visitor Points
Dallas Mavericks,111,Portland Trail Blazers,127
Toronto Raptors,106,Los Angeles Lakers,112
Orlando Magic,93,Boston Celtics,91
Oklahoma City Thunder,108,Sacramento Kings,93
San Antonio Spurs,110,Milwaukee Bucks,82
Phoenix Suns,117,Denver Nuggets,103
Cleveland Cavaliers,97,Dallas Mavericks,102
Detroit Pistons,103,Los Angeles Clippers,112
Charlotte Bobcats,100,Toronto Raptors,95
Washington Wizards,107,Philadelphia 76ers,99
New York Knicks,80,Brooklyn Nets,103
Memphis Grizzlies,92,New Orleans Pelicans,95
Atlanta Hawks,121,Miami Heat,114
Chicago Bulls,102,Los Angeles Lakers,100
Houston Rockets,126,Portland Trail Blazers,113
Golden State Warriors,94,Indiana Pacers,102
Brooklyn Nets,101,Orlando Magic,90
Miami Heat,93,Boston Celtics,86
New Orleans Pelicans,97,Sacramento Kings,114
Oklahoma City Thunder,105,Portland Trail Blazers,97
Utah Jazz,97,Minnesota Timberwolves,112
Charlotte Bobcats,95,Los Angeles Clippers,91
Cleveland Cavaliers,87,Chicago Bulls,98
Orlando Magic,109,Atlanta Hawks,112
Toronto Raptors,93,Dallas Mavericks,85
Washington Wizards,111,Boston Celtics,113
New York Knicks,106,Philadelphia 76ers,110
Houston Rockets,119,Sacramento Kings,98
Milwaukee Bucks,104,Detroit Pistons,101
San Antonio Spurs,105,Oklahoma City Thunder,111
Phoenix Suns,124,Indiana Pacers,100
Miami Heat,109,Los Angeles Lakers,102
Portland Trail Blazers,110,Denver Nuggets,105
Orlando Magic,114,Los Angeles Lakers,105
Philadelphia 76ers,95,Toronto Raptors,104
Atlanta Hawks,79,San Antonio Spurs,105
Boston Celtics,83,Oklahoma City Thunder,101
Brooklyn Nets,107,Dallas Mavericks,106
Cleveland Cavaliers,93,Milwaukee Bucks,78
Detroit Pistons,101,New Orleans Pelicans,103
New York Knicks,125,Charlotte Bobcats,96
Chicago Bulls,95,Los Angeles Clippers,112
Houston Rockets,87,Memphis Grizzlies,88
Phoenix Suns,95,Washington Wizards,101
Sacramento Kings,111,Indiana Pacers,116
Golden State Warriors,120,Minnesota Timberwolves,121
Charlotte Bobcats,87,Chicago Bulls,89
Toronto Raptors,118,Los Angeles Clippers,126
Philadelphia 76ers,91,Oklahoma City Thunder,103
Memphis Grizzlies,99,Houston Rockets,81
Milwaukee Bucks,87,Atlanta Hawks,112
Denver Nuggets,109,Indiana Pacers,96
Utah Jazz,104,Washington Wizards,101
Portland Trail Blazers,115,Minnesota Timberwolves,104
Miami Heat,113,San Antonio Spurs,101
New York Knicks,110,Los Angeles Lakers,103
Cleveland Cavaliers,90,Phoenix Suns,99
New Orleans Pelicans,100,Orlando Magic,92
Boston Celtics,79,Brooklyn Nets,85
Dallas Mavericks,116,Detroit Pistons,106
Golden State Warriors,103,Portland Trail Blazers,88
Sacramento Kings,117,Denver Nuggets,125
Philadelphia 76ers,113,Phoenix Suns,124
Brooklyn Nets,103,Toronto Raptors,104
Chicago Bulls,86,Minnesota Timberwolves,95
Milwaukee Bucks,86,Los Angeles Clippers,114
Oklahoma City Thunder,111,Atlanta Hawks,109
Utah Jazz,106,Sacramento Kings,99
Cleveland Cavaliers,89,New Orleans Pelicans,100
Detroit Pistons,103,Orlando Magic,87
New York Knicks,114,Boston Celtics,88
Houston Rockets,97,San Antonio Spurs,90
Portland Trail Blazers,81,Memphis Grizzlies,98
Golden State Warriors,85,Washington Wizards,88
Los Angeles Lakers,92,Indiana Pacers,104
Miami Heat,95,Oklahoma City Thunder,112
Toronto Raptors,98,Orlando Magic,83
Boston Celtics,94,Philadelphia 76ers,95
Milwaukee Bucks,117,Phoenix Suns,126
Minnesota Timberwolves,88,New Orleans Pelicans,77
Dallas Mavericks,115,Houston Rockets,117
Denver Nuggets,98,Charlotte Bobcats,101
San Antonio Spurs,86,Chicago Bulls,96
Sacramento Kings,89,Memphis Grizzlies,99
Los Angeles Clippers,110,Washington Wizards,103
Indiana Pacers,94,Phoenix Suns,102
New York Knicks,117,Cleveland Cavaliers,86
Golden State Warriors,111,Los Angeles Clippers,92
Orlando Magic,113,Milwaukee Bucks,102
Philadelphia 76ers,99,Atlanta Hawks,125
Brooklyn Nets,95,Oklahoma City Thunder,120
Minnesota Timberwolves,90,Memphis Grizzlies,94
Dallas Mavericks,107,Sacramento Kings,103
Denver Nuggets,90,Toronto Raptors,100
Los Angeles Lakers,100,Charlotte Bobcats,110
Utah Jazz,90,Golden State Warriors,95
Indiana Pacers,97,Brooklyn Nets,96
Washington Wizards,96,Oklahoma City Thunder,81
Atlanta Hawks,120,Minnesota Timberwolves,113
Detroit Pistons,113,Philadelphia 76ers,96
Houston Rockets,106,Cleveland Cavaliers,92
Memphis Grizzlies,99,Milwaukee Bucks,90
New Orleans Pelicans,88,Chicago Bulls,79
New York Knicks,91,Miami Heat,106
San Antonio Spurs,95,Sacramento Kings,93
Phoenix Suns,105,Charlotte Bobcats,95
Portland Trail Blazers,106,Toronto Raptors,103
Los Angeles Clippers,102,Utah Jazz,87
Boston Celtics,96,Orlando Magic,89
Indiana Pacers,98,Orlando Magic,79
Washington Wizards,100,Portland Trail Blazers,90
Brooklyn Nets,108,Philadelphia 76ers,102
Miami Heat,102,Detroit Pistons,96
Milwaukee Bucks,101,New York Knicks,98
New Orleans Pelicans,95,San Antonio Spurs,102
Oklahoma City Thunder,86,Memphis Grizzlies,77
Dallas Mavericks,124,Cleveland Cavaliers,107
Denver Nuggets,116,Los Angeles Clippers,115
Utah Jazz,79,Toronto Raptors,94
Sacramento Kings,99,Chicago Bulls,70
Atlanta Hawks,85,Indiana Pacers,89
Minnesota Timberwolves,109,Los Angeles Lakers,99
Phoenix Suns,92,Chicago Bulls,101
Golden State Warriors,75,Charlotte Bobcats,91
Cleveland Cavaliers,108,Los Angeles Lakers,119
Orlando Magic,112,Detroit Pistons,98
Philadelphia 76ers,108,Boston Celtics,114
Washington Wizards,118,San Antonio Spurs,125
Houston Rockets,122,Phoenix Suns,108
Memphis Grizzlies,96,Dallas Mavericks,110
New Orleans Pelicans,105,Atlanta Hawks,100
New York Knicks,90,Portland Trail Blazers,94
Oklahoma City Thunder,106,Minnesota Timberwolves,97
Denver Nuggets,110,Milwaukee Bucks,100
Sacramento Kings,109,Toronto Raptors,101
Los Angeles Clippers,112,Miami Heat,116
Brooklyn Nets,103,San Antonio Spurs,89
Golden State Warriors,102,Chicago Bulls,87
Indiana Pacers,118,Portland Trail Blazers,113
Orlando Magic,103,Oklahoma City Thunder,102
Philadelphia 76ers,98,Los Angeles Lakers,112
Washington Wizards,113,Cleveland Cavaliers,115
Boston Celtics,99,Sacramento Kings,89
Detroit Pistons,111,Brooklyn Nets,95
New York Knicks,117,Denver Nuggets,90
Dallas Mavericks,103,Utah Jazz,81
New Orleans Pelicans,98,Minnesota Timberwolves,91
Los Angeles Clippers,118,Toronto Raptors,105
Charlotte Bobcats,100,San Antonio Spurs,104
Atlanta Hawks,76,Memphis Grizzlies,79
Detroit Pistons,126,Denver Nuggets,109
Minnesota Timberwolves,110,Portland Trail Blazers,117
Milwaukee Bucks,95,Houston Rockets,101
Phoenix Suns,122,Golden State Warriors,109
Utah Jazz,94,Miami Heat,89
Oklahoma City Thunder,112,New York Knicks,100
Los Angeles Lakers,86,Chicago Bulls,92
Boston Celtics,91,Dallas Mavericks,102
Brooklyn Nets,93,New Orleans Pelicans,81
Cleveland Cavaliers,91,Memphis Grizzlies,83
Orlando Magic,93,Indiana Pacers,92
Washington Wizards,93,Sacramento Kings,84
Los Angeles Clippers,123,Philadelphia 76ers,78
Indiana Pacers,119,Denver Nuggets,80
Toronto Raptors,108,New Orleans Pelicans,101
Detroit Pistons,109,San Antonio Spurs,100
Milwaukee Bucks,86,Boston Celtics,102
Minnesota Timberwolves,89,Houston Rockets,107
Golden State Warriors,123,Philadelphia 76ers,80
Charlotte Bobcats,114,Dallas Mavericks,89
Cleveland Cavaliers,109,Sacramento Kings,99
Chicago Bulls,100,Atlanta Hawks,85
Memphis Grizzlies,92,Washington Wizards,89
Phoenix Suns,97,Miami Heat,103
Portland Trail Blazers,95,Oklahoma City Thunder,98
Los Angeles Lakers,79,Utah Jazz,96
Indiana Pacers,73,Dallas Mavericks,81
Orlando Magic,81,Memphis Grizzlies,86
Toronto Raptors,104,Atlanta Hawks,83
Boston Celtics,92,San Antonio Spurs,104
Brooklyn Nets,105,Charlotte Bobcats,89
Detroit Pistons,89,Cleveland Cavaliers,93
New York Knicks,101,Sacramento Kings,106
Houston Rockets,113,Washington Wizards,112
Milwaukee Bucks,98,New Orleans Pelicans,102
Minnesota Timberwolves,117,Denver Nuggets,90
Utah Jazz,105,Philadelphia 76ers,100
Golden State Warriors,110,Miami Heat,111
Los Angeles Clippers,122,Portland Trail Blazers,117
Chicago Bulls,92,Brooklyn Nets,76
Los Angeles Lakers,103,Oklahoma City Thunder,107
Indiana Pacers,108,Atlanta Hawks,98
Philadelphia 76ers,85,Cleveland Cavaliers,114
Washington Wizards,93,Toronto Raptors,103
Detroit Pistons,96,Charlotte Bobcats,108
Memphis Grizzlies,98,New York Knicks,93
Milwaukee Bucks,104,Orlando Magic,100
Dallas Mavericks,106,Miami Heat,117
Denver Nuggets,107,Phoenix Suns,112
Los Angeles Clippers,103,San Antonio Spurs,113
Charlotte Bobcats,116,Detroit Pistons,98
Cleveland Cavaliers,101,Orlando Magic,93
Toronto Raptors,92,Chicago Bulls,94
Atlanta Hawks,97,Washington Wizards,114
Minnesota Timberwolves,104,Indiana Pacers,91
New Orleans Pelicans,91,New York Knicks,98
Phoenix Suns,100,Boston Celtics,94
Utah Jazz,99,Brooklyn Nets,105
Portland Trail Blazers,109,San Antonio Spurs,111
Sacramento Kings,92,Golden State Warriors,101
Los Angeles Lakers,108,Houston Rockets,134
Milwaukee Bucks,90,Denver Nuggets,101
Oklahoma City Thunder,81,Miami Heat,103
Golden State Warriors,102,Houston Rockets,99
Charlotte Bobcats,90,New Orleans Pelicans,87
Orlando Magic,129,New York Knicks,121
Philadelphia 76ers,112,Dallas Mavericks,124
Toronto Raptors,98,Cleveland Cavaliers,91
Detroit Pistons,115,Atlanta Hawks,107
Chicago Bulls,117,Denver Nuggets,89
Memphis Grizzlies,102,Los Angeles Clippers,96
Phoenix Suns,106,San Antonio Spurs,85
Portland Trail Blazers,102,Utah Jazz,94
Los Angeles Lakers,101,Boston Celtics,92
Charlotte Bobcats,92,Memphis Grizzlies,89
Washington Wizards,94,New Orleans Pelicans,93
Atlanta Hawks,107,New York Knicks,98
Detroit Pistons,102,Dallas Mavericks,113
Milwaukee Bucks,100,Indiana Pacers,110
Utah Jazz,104,Minnesota Timberwolves,121
Sacramento Kings,105,Boston Celtics,98
Golden State Warriors,93,Brooklyn Nets,86
Oklahoma City Thunder,117,Los Angeles Clippers,125
Miami Heat,93,Chicago Bulls,79
Cleveland Cavaliers,83,Washington Wizards,96
Toronto Raptors,105,Orlando Magic,90
Denver Nuggets,95,Sacramento Kings,109
Los Angeles Lakers,102,Brooklyn Nets,108
Phoenix Suns,112,Houston Rockets,115
Portland Trail Blazers,108,Minnesota Timberwolves,97
Philadelphia 76ers,110,Milwaukee Bucks,130
Detroit Pistons,96,Golden State Warriors,104
New York Knicks,108,Dallas Mavericks,110
New Orleans Pelicans,110,Los Angeles Clippers,123
Utah Jazz,110,Boston Celtics,98
Cleveland Cavaliers,93,Toronto Raptors,99
Indiana Pacers,118,Los Angeles Lakers,98
Washington Wizards,115,Orlando Magic,106
Atlanta Hawks,103,Chicago Bulls,107
Denver Nuggets,95,Portland Trail Blazers,100
Phoenix Suns,101,Minnesota Timberwolves,110
Sacramento Kings,103,Houston Rockets,129
Philadelphia 76ers,90,Orlando Magic,101
Boston Celtics,115,Atlanta Hawks,104
Chicago Bulls,103,Golden State Warriors,83
Dallas Mavericks,108,New Orleans Pelicans,89
Memphis Grizzlies,108,Los Angeles Lakers,103
Oklahoma City Thunder,104,Cleveland Cavaliers,114
San Antonio Spurs,120,Detroit Pistons,110
Utah Jazz,109,Phoenix Suns,86
Portland Trail Blazers,124,Brooklyn Nets,80
Los Angeles Clippers,101,Houston Rockets,93
Indiana Pacers,101,Milwaukee Bucks,96
Toronto Raptors,129,Washington Wizards,134
Miami Heat,108,New York Knicks,82
Denver Nuggets,89,Brooklyn Nets,112
Cleveland Cavaliers,99,Utah Jazz,79
New York Knicks,103,Golden State Warriors,126
Oklahoma City Thunder,113,Memphis Grizzlies,107
Dallas Mavericks,91,Chicago Bulls,100
San Antonio Spurs,92,Charlotte Bobcats,82
Los Angeles Lakers,126,Sacramento Kings,122
Phoenix Suns,116,New Orleans Pelicans,104
Miami Heat,112,Orlando Magic,98
Philadelphia 76ers,103,Washington Wizards,122
Boston Celtics,97,Indiana Pacers,102
Houston Rockets,118,Detroit Pistons,110
Milwaukee Bucks,98,Brooklyn Nets,107
Memphis Grizzlies,110,Cleveland Cavaliers,96
Portland Trail Blazers,102,Denver Nuggets,96
Sacramento Kings,97,Minnesota Timberwolves,108
Los Angeles Clippers,108,New Orleans Pelicans,76
Chicago Bulls,109,New York Knicks,90
Toronto Raptors,104,Golden State Warriors,98
Indiana Pacers,94,Utah Jazz,91
Orlando Magic,92,Philadelphia 76ers,81
Oklahoma City Thunder,116,Charlotte Bobcats,99
San Antonio Spurs,112,Dallas Mavericks,106
Phoenix Suns,129,Atlanta Hawks,120
Washington Wizards,104,Memphis Grizzlies,110
Brooklyn Nets,96,Chicago Bulls,80
Detroit Pistons,96,New York Knicks,85
Miami Heat,124,Charlotte Bobcats,107
Milwaukee Bucks,114,Utah Jazz,88
Denver Nuggets,128,Minnesota Timberwolves,132
Portland Trail Blazers,106,Los Angeles Lakers,107
Sacramento Kings,96,New Orleans Pelicans,89
Cleveland Cavaliers,101,San Antonio Spurs,122
Indiana Pacers,96,Golden State Warriors,98
Houston Rockets,106,Miami Heat,103
Oklahoma City Thunder,125,Philadelphia 76ers,92
Phoenix Suns,96,Los Angeles Clippers,104
Los Angeles Lakers,125,New Orleans Pelicans,132
Charlotte Bobcats,109,Indiana Pacers,87
Orlando Magic,89,Houston Rockets,101
Washington Wizards,104,Utah Jazz,91
Boston Celtics,88,Golden State Warriors,108
Brooklyn Nets,103,Memphis Grizzlies,94
Detroit Pistons,94,Chicago Bulls,105
Denver Nuggets,115,Dallas Mavericks,110
Milwaukee Bucks,102,Sacramento Kings,116
Minnesota Timberwolves,106,New York Knicks,118
Portland Trail Blazers,102,Atlanta Hawks,78
San Antonio Spurs,111,Miami Heat,87
Phoenix Suns,128,Oklahoma City Thunder,122
Los Angeles Lakers,94,Los Angeles Clippers,142
Charlotte Bobcats,101,Cleveland Cavaliers,92
Chicago Bulls,77,Memphis Grizzlies,85
Toronto Raptors,99,Sacramento Kings,87
Boston Celtics,91,Brooklyn Nets,84
New York Knicks,108,Utah Jazz,81
Minnesota Timberwolves,114,Detroit Pistons,101
New Orleans Pelicans,112,Milwaukee Bucks,104
Dallas Mavericks,103,Portland Trail Blazers,98
Denver Nuggets,134,Los Angeles Lakers,126
Houston Rockets,112,Indiana Pacers,86
Golden State Warriors,111,Atlanta Hawks,97
Cleveland Cavaliers,97,New York Knicks,107
Philadelphia 76ers,92,Utah Jazz,104
Memphis Grizzlies,111,Charlotte Bobcats,89
San Antonio Spurs,121,Orlando Magic,112
Milwaukee Bucks,107,Washington Wizards,114
Los Angeles Clippers,109,Atlanta Hawks,108
Chicago Bulls,95,Miami Heat,88
Los Angeles Lakers,114,Oklahoma City Thunder,110
Boston Celtics,118,Detroit Pistons,111
Brooklyn Nets,104,Sacramento Kings,89
New Orleans Pelicans,111,Denver Nuggets,107
Houston Rockets,118,Portland Trail Blazers,113
Minnesota Timberwolves,104,Toronto Raptors,111
Dallas Mavericks,105,Indiana Pacers,94
Golden State Warriors,113,Phoenix Suns,107
Charlotte Bobcats,105,Denver Nuggets,98
Brooklyn Nets,101,Toronto Raptors,97
Miami Heat,99,Washington Wizards,90
New York Knicks,123,Philadelphia 76ers,110
Milwaukee Bucks,105,Orlando Magic,98
Utah Jazz,110,Atlanta Hawks,112
Los Angeles Clippers,112,Phoenix Suns,105
Indiana Pacers,94,Boston Celtics,83
Detroit Pistons,99,Sacramento Kings,89
Chicago Bulls,96,San Antonio Spurs,104
Memphis Grizzlies,109,Portland Trail Blazers,99
Minnesota Timberwolves,112,Milwaukee Bucks,101
Oklahoma City Thunder,106,Houston Rockets,98
Golden State Warriors,108,Dallas Mavericks,85
Miami Heat,95,Brooklyn Nets,96
Orlando Magic,112,Denver Nuggets,120
Philadelphia 76ers,98,Sacramento Kings,115
Toronto Raptors,101,Detroit Pistons,87
Washington Wizards,85,Charlotte Bobcats,98
Boston Celtics,92,New York Knicks,116
New Orleans Pelicans,88,Memphis Grizzlies,90
Utah Jazz,101,Dallas Mavericks,108
San Antonio Spurs,103,Portland Trail Blazers,90
Phoenix Suns,101,Cleveland Cavaliers,110
Los Angeles Clippers,111,Golden State Warriors,98
Chicago Bulls,111,Houston Rockets,87
Atlanta Hawks,102,Milwaukee Bucks,97
Oklahoma City Thunder,131,Los Angeles Lakers,102
Charlotte Bobcats,105,Minnesota Timberwolves,93
Orlando Magic,101,Washington Wizards,105
Philadelphia 76ers,94,Indiana Pacers,101
Toronto Raptors,99,Memphis Grizzlies,86
Boston Celtics,80,Phoenix Suns,87
Miami Heat,107,Denver Nuggets,111
New Orleans Pelicans,103,Portland Trail Blazers,111
San Antonio Spurs,119,Los Angeles Lakers,85
Utah Jazz,87,Los Angeles Clippers,96
Golden State Warriors,94,Cleveland Cavaliers,103
New York Knicks,115,Milwaukee Bucks,94
Washington Wizards,101,Brooklyn Nets,94
Atlanta Hawks,97,Denver Nuggets,92
Detroit Pistons,104,Indiana Pacers,112
Philadelphia 76ers,77,Memphis Grizzlies,103
Chicago Bulls,94,Sacramento Kings,87
Milwaukee Bucks,92,Charlotte Bobcats,101
Toronto Raptors,113,Phoenix Suns,121
Miami Heat,113,Houston Rockets,104
New Orleans Pelicans,121,Boston Celtics,120
Minnesota Timberwolves,104,Sacramento Kings,102
Oklahoma City Thunder,86,Dallas Mavericks,109
San Antonio Spurs,122,Utah Jazz,104
Portland Trail Blazers,112,Golden State Warriors,113
Los Angeles Clippers,102,Cleveland Cavaliers,80
Charlotte Bobcats,83,Atlanta Hawks,97
Indiana Pacers,99,Philadelphia 76ers,90
Brooklyn Nets,108,Phoenix Suns,95
Chicago Bulls,85,Oklahoma City Thunder,97
Houston Rockets,124,Utah Jazz,86
Dallas Mavericks,94,Boston Celtics,89
Denver Nuggets,110,Los Angeles Clippers,100
Cleveland Cavaliers,96,Miami Heat,100
Atlanta Hawks,118,Toronto Raptors,113
Portland Trail Blazers,120,Milwaukee Bucks,115
Sacramento Kings,117,Washington Wizards,111
Golden State Warriors,103,Orlando Magic,89
Philadelphia 76ers,94,Chicago Bulls,102
Boston Celtics,101,Miami Heat,96
Brooklyn Nets,104,Charlotte Bobcats,99
Memphis Grizzlies,96,Utah Jazz,86
New Orleans Pelicans,100,Toronto Raptors,107
New York Knicks,92,Indiana Pacers,86
Dallas Mavericks,122,Minnesota Timberwolves,123
Denver Nuggets,118,Detroit Pistons,109
Phoenix Suns,109,Orlando Magic,93
Los Angeles Lakers,109,San Antonio Spurs,125
Cleveland Cavaliers,95,Oklahoma City Thunder,102
Houston Rockets,129,Minnesota Timberwolves,106
Portland Trail Blazers,116,Washington Wizards,103
Golden State Warriors,115,Milwaukee Bucks,110
Indiana Pacers,91,Chicago Bulls,79
Philadelphia 76ers,92,New York Knicks,93
Toronto Raptors,118,Oklahoma City Thunder,119
Atlanta Hawks,105,New Orleans Pelicans,111
Brooklyn Nets,114,Boston Celtics,98
Miami Heat,91,Memphis Grizzlies,86
Dallas Mavericks,122,Denver Nuggets,106
Phoenix Suns,98,Detroit Pistons,92
Sacramento Kings,79,San Antonio Spurs,99
Los Angeles Lakers,107,Washington Wizards,117
Charlotte Bobcats,124,Portland Trail Blazers,94
Cleveland Cavaliers,111,Houston Rockets,118
Chicago Bulls,91,Philadelphia 76ers,81
Memphis Grizzlies,82,Indiana Pacers,71
New Orleans Pelicans,105,Miami Heat,95
Utah Jazz,89,Orlando Magic,88
Golden State Warriors,90,San Antonio Spurs,99
Los Angeles Clippers,112,Detroit Pistons,103
Toronto Raptors,96,Atlanta Hawks,86
Minnesota Timberwolves,120,Phoenix Suns,127
Denver Nuggets,105,Washington Wizards,102
Sacramento Kings,124,Milwaukee Bucks,107
Dallas Mavericks,104,Brooklyn Nets,107
New York Knicks,100,Cleveland Cavaliers,106
Los Angeles Lakers,103,Orlando Magic,94
Charlotte Bobcats,89,Houston Rockets,100
Atlanta Hawks,95,Phoenix Suns,102
Miami Heat,93,Portland Trail Blazers,91
Chicago Bulls,89,Indiana Pacers,77
Memphis Grizzlies,109,Minnesota Timberwolves,92
New Orleans Pelicans,109,Brooklyn Nets,104
Oklahoma City Thunder,117,Denver Nuggets,96
San Antonio Spurs,113,Philadelphia 76ers,91
Utah Jazz,94,Detroit Pistons,114
Los Angeles Clippers,106,Milwaukee Bucks,98
Cleveland Cavaliers,102,Toronto Raptors,100
Orlando Magic,95,Portland Trail Blazers,85
Dallas Mavericks,128,Oklahoma City Thunder,119
Los Angeles Lakers,127,New York Knicks,96
Charlotte Bobcats,116,Brooklyn Nets,111
Washington Wizards,93,Phoenix Suns,99
Boston Celtics,90,Toronto Raptors,99
Detroit Pistons,96,Cleveland Cavaliers,97
Indiana Pacers,84,Miami Heat,83
Minnesota Timberwolves,107,Atlanta Hawks,83
New Orleans Pelicans,98,Los Angeles Clippers,96
San Antonio Spurs,108,Denver Nuggets,103
Sacramento Kings,99,New York Knicks,107
Utah Jazz,87,Memphis Grizzlies,91
Atlanta Hawks,85,Portland Trail Blazers,100
Houston Rockets,120,Philadelphia 76ers,98
Milwaukee Bucks,108,Los Angeles Lakers,105
Dallas Mavericks,103,Los Angeles Clippers,109
Orlando Magic,110,Charlotte Bobcats,105
Toronto Raptors,105,Boston Celtics,103
Washington Wizards,91,Indiana Pacers,78
Brooklyn Nets,108,Cleveland Cavaliers,97
Detroit Pistons,78,Miami Heat,110
Chicago Bulls,74,Portland Trail Blazers,91
Minnesota Timberwolves,143,Los Angeles Lakers,107
New Orleans Pelicans,102,Utah Jazz,95
Oklahoma City Thunder,94,Sacramento Kings,81
Denver Nuggets,102,San Antonio Spurs,133
Phoenix Suns,112,New York Knicks,88
Golden State Warriors,100,Memphis Grizzlies,93
Philadelphia 76ers,123,Detroit Pistons,98
Houston Rockets,107,Los Angeles Clippers,118
Washington Wizards,101,Atlanta Hawks,97
Dallas Mavericks,103,Sacramento Kings,100
Milwaukee Bucks,67,Miami Heat,88
San Antonio Spurs,96,New Orleans Pelicans,80
Cleveland Cavaliers,90,Indiana Pacers,76
Oklahoma City Thunder,116,Utah Jazz,96
Brooklyn Nets,114,Minnesota Timberwolves,99
Orlando Magic,93,Toronto Raptors,98
Boston Celtics,102,Chicago Bulls,107
Golden State Warriors,84,New York Knicks,89
Portland Trail Blazers,105,Memphis Grizzlies,98
Los Angeles Lakers,115,Phoenix Suns,99
Charlotte Bobcats,100,Washington Wizards,94
Indiana Pacers,77,San Antonio Spurs,103
Atlanta Hawks,103,Philadelphia 76ers,95
Detroit Pistons,116,Milwaukee Bucks,111
Miami Heat,93,Toronto Raptors,83
Chicago Bulls,94,Boston Celtics,80
Minnesota Timberwolves,104,Los Angeles Clippers,114
New Orleans Pelicans,97,Sacramento Kings,102
Denver Nuggets,92,Memphis Grizzlies,94
Utah Jazz,83,New York Knicks,92
Brooklyn Nets,105,Houston Rockets,96
Dallas Mavericks,120,Golden State Warriors,122
Los Angeles Lakers,112,Portland Trail Blazers,124
Indiana Pacers,101,Detroit Pistons,94
New York Knicks,110,Brooklyn Nets,81
Orlando Magic,98,Cleveland Cavaliers,119
Philadelphia 76ers,93,Charlotte Bobcats,123
Toronto Raptors,107,Houston Rockets,103
Washington Wizards,118,Boston Celtics,92
Atlanta Hawks,92,Chicago Bulls,105
Miami Heat,96,Milwaukee Bucks,77
Minnesota Timberwolves,102,Memphis Grizzlies,88
San Antonio Spurs,111,Golden State Warriors,90
Denver Nuggets,137,New Orleans Pelicans,107
Phoenix Suns,108,Los Angeles Clippers,112
Sacramento Kings,107,Los Angeles Lakers,102
Oklahoma City Thunder,106,San Antonio Spurs,94
Los Angeles Clippers,107,Dallas Mavericks,113
Charlotte Bobcats,91,Orlando Magic,80
Memphis Grizzlies,100,Denver Nuggets,92
Toronto Raptors,102,Indiana Pacers,94
Atlanta Hawks,117,Cleveland Cavaliers,98
Boston Celtics,102,Philadelphia 76ers,111
Brooklyn Nets,116,Detroit Pistons,104
Miami Heat,121,Minnesota Timberwolves,122
New York Knicks,89,Washington Wizards,90
Chicago Bulls,102,Milwaukee Bucks,90
Utah Jazz,100,New Orleans Pelicans,96
Houston Rockets,111,Oklahoma City Thunder,107
Portland Trail Blazers,93,Phoenix Suns,109
Golden State Warriors,102,Sacramento Kings,69
Los Angeles Lakers,95,Dallas Mavericks,107
Orlando Magic,100,Minnesota Timberwolves,92
Washington Wizards,78,Chicago Bulls,96
Cleveland Cavaliers,94,Charlotte Bobcats,96
Detroit Pistons,115,Boston Celtics,111
Philadelphia 76ers,101,Brooklyn Nets,105
Milwaukee Bucks,98,Toronto Raptors,102
Miami Heat,102,New York Knicks,91
Los Angeles Clippers,120,Los Angeles Lakers,97
Indiana Pacers,88,Atlanta Hawks,107
Sacramento Kings,91,Dallas Mavericks,93
Houston Rockets,130,Denver Nuggets,125
San Antonio Spurs,112,Memphis Grizzlies,92
Golden State Warriors,130,Utah Jazz,102
Phoenix Suns,122,Oklahoma City Thunder,115
Portland Trail Blazers,100,New Orleans Pelicans,94
Atlanta Hawks,95,Detroit Pistons,102
Miami Heat,87,Brooklyn Nets,88
Minnesota Timberwolves,110,San Antonio Spurs,91
Utah Jazz,83,Dallas Mavericks,95
Sacramento Kings,92,Oklahoma City Thunder,107
Los Angeles Lakers,130,Houston Rockets,145
Cleveland Cavaliers,122,Detroit Pistons,100
Orlando Magic,115,Brooklyn Nets,111
Toronto Raptors,125,Philadelphia 76ers,114
Washington Wizards,88,Charlotte Bobcats,94
Atlanta Hawks,105,Boston Celtics,97
Memphis Grizzlies,107,Miami Heat,102
Milwaukee Bucks,102,Indiana Pacers,104
Minnesota Timberwolves,87,Chicago Bulls,102
New Orleans Pelicans,88,Phoenix Suns,94
Denver Nuggets,123,Houston Rockets,116
Portland Trail Blazers,100,Sacramento Kings,99
Los Angeles Clippers,101,Oklahoma City Thunder,107
Dallas Mavericks,100,San Antonio Spurs,109
Golden State Warriors,99,Denver Nuggets,100
Orlando Magic,86,Washington Wizards,96
Toronto Raptors,100,New York Knicks,108
Boston Celtics,106,Charlotte Bobcats,103
Brooklyn Nets,88,Atlanta Hawks,93
Miami Heat,98,Indiana Pacers,86
Chicago Bulls,106,Detroit Pistons,98
Memphis Grizzlies,117,Philadelphia 76ers,95
Minnesota Timberwolves,112,Houston Rockets,110
Oklahoma City Thunder,116,New Orleans Pelicans,94
Milwaukee Bucks,119,Cleveland Cavaliers,116
San Antonio Spurs,112,Phoenix Suns,104
Utah Jazz,99,Portland Trail Blazers,111
Los Angeles Lakers,95,Golden State Warriors,112
Los Angeles Clippers,117,Sacramento Kings,101
Charlotte Bobcats,111,Philadelphia 76ers,105
Washington Wizards,104,Milwaukee Bucks,91
Atlanta Hawks,98,Miami Heat,85
Cleveland Cavaliers,99,Boston Celtics,111
Houston Rockets,111,New Orleans Pelicans,104
Dallas Mavericks,101,Phoenix Suns,98
Denver Nuggets,101,Utah Jazz,94
