Home,Home Points,Visitor,Visitor Points
New Orleans Hornets,89,Dallas Mavericks,107
Houston Rockets,121,Sacramento Kings,100
Los Angeles Lakers,91,San Antonio Spurs,86
Charlotte Bobcats,106,New York Knicks,95
Cleveland Cavaliers,95,Miami Heat,96
Orlando Magic,84,Chicago Bulls,102
Brooklyn Nets,106,Washington Wizards,101
Detroit Pistons,109,Philadelphia 76ers,101
Dallas Mavericks,97,Memphis Grizzlies,103
Milwaukee Bucks,111,Denver Nuggets,112
Minnesota Timberwolves,80,Utah Jazz,96
Oklahoma City Thunder,104,Sacramento Kings,95
Phoenix Suns,119,Houston Rockets,112
Golden State Warriors,116,San Antonio Spurs,106
Atlanta Hawks,96,Toronto Raptors,113
Los Angeles Clippers,93,Portland Trail Blazers,77
Brooklyn Nets,103,Detroit Pistons,99
Charlotte Bobcats,105,Cleveland Cavaliers,98
Chicago Bulls,95,Washington Wizards,92
Dallas Mavericks,99,New Orleans Hornets,87
Denver Nuggets,118,Phoenix Suns,98
Indiana Pacers,95,Philadelphia 76ers,105
Memphis Grizzlies,86,Utah Jazz,70
Miami Heat,105,Orlando Magic,93
New York Knicks,98,Atlanta Hawks,92
Oklahoma City Thunder,89,Milwaukee Bucks,95
San Antonio Spurs,95,Minnesota Timberwolves,108
Toronto Raptors,114,Boston Celtics,90
Los Angeles Lakers,99,Houston Rockets,95
Portland Trail Blazers,88,Golden State Warriors,99
Sacramento Kings,108,Los Angeles Clippers,112
New York Knicks,85,Boston Celtics,78
Denver Nuggets,97,Golden State Warriors,95
Brooklyn Nets,106,Chicago Bulls,89
Los Angeles Clippers,112,Memphis Grizzlies,91
Indiana Pacers,107,Atlanta Hawks,90
San Antonio Spurs,91,Los Angeles Lakers,79
Miami Heat,110,Milwaukee Bucks,87
Oklahoma City Thunder,120,Houston Rockets,91
Brooklyn Nets,82,Chicago Bulls,90
Los Angeles Clippers,93,Memphis Grizzlies,91
Miami Heat,98,Milwaukee Bucks,86
New York Knicks,87,Boston Celtics,71
Denver Nuggets,117,Golden State Warriors,131
Oklahoma City Thunder,105,Houston Rockets,102
Indiana Pacers,113,Atlanta Hawks,98
San Antonio Spurs,102,Los Angeles Lakers,91
Milwaukee Bucks,91,Miami Heat,104
Chicago Bulls,79,Brooklyn Nets,76
Memphis Grizzlies,94,Los Angeles Clippers,82
Boston Celtics,76,New York Knicks,90
Golden State Warriors,110,Denver Nuggets,108
Los Angeles Lakers,89,San Antonio Spurs,120
Chicago Bulls,142,Brooklyn Nets,134
Memphis Grizzlies,104,Los Angeles Clippers,83
Atlanta Hawks,90,Indiana Pacers,69
Houston Rockets,101,Oklahoma City Thunder,104
Boston Celtics,97,New York Knicks,90
Milwaukee Bucks,77,Miami Heat,88
Los Angeles Lakers,82,San Antonio Spurs,103
Golden State Warriors,115,Denver Nuggets,101
Brooklyn Nets,110,Chicago Bulls,91
Atlanta Hawks,102,Indiana Pacers,91
Houston Rockets,105,Oklahoma City Thunder,103
Denver Nuggets,107,Golden State Warriors,100
Los Angeles Clippers,93,Memphis Grizzlies,103
New York Knicks,86,Boston Celtics,92
Indiana Pacers,106,Atlanta Hawks,83
Oklahoma City Thunder,100,Houston Rockets,107
Chicago Bulls,92,Brooklyn Nets,95
Golden State Warriors,92,Denver Nuggets,88
Atlanta Hawks,73,Indiana Pacers,81
Boston Celtics,80,New York Knicks,88
Houston Rockets,94,Oklahoma City Thunder,103
Memphis Grizzlies,118,Los Angeles Clippers,105
Brooklyn Nets,93,Chicago Bulls,99
Oklahoma City Thunder,93,Memphis Grizzlies,91
New York Knicks,95,Indiana Pacers,102
Miami Heat,86,Chicago Bulls,93
San Antonio Spurs,129,Golden State Warriors,127
New York Knicks,105,Indiana Pacers,79
Oklahoma City Thunder,93,Memphis Grizzlies,99
Miami Heat,115,Chicago Bulls,78
San Antonio Spurs,91,Golden State Warriors,100
Chicago Bulls,94,Miami Heat,104
Golden State Warriors,92,San Antonio Spurs,102
Memphis Grizzlies,87,Oklahoma City Thunder,81
Indiana Pacers,82,New York Knicks,71
Golden State Warriors,97,San Antonio Spurs,87
Chicago Bulls,65,Miami Heat,88
Memphis Grizzlies,103,Oklahoma City Thunder,97
Indiana Pacers,93,New York Knicks,82
San Antonio Spurs,109,Golden State Warriors,91
Miami Heat,94,Chicago Bulls,91
Oklahoma City Thunder,84,Memphis Grizzlies,88
New York Knicks,85,Indiana Pacers,75
Golden State Warriors,82,San Antonio Spurs,94
Indiana Pacers,106,New York Knicks,99
San Antonio Spurs,105,Memphis Grizzlies,83
San Antonio Spurs,93,Memphis Grizzlies,89
Miami Heat,103,Indiana Pacers,102
Miami Heat,93,Indiana Pacers,97
Memphis Grizzlies,93,San Antonio Spurs,104
Indiana Pacers,96,Miami Heat,114
Memphis Grizzlies,86,San Antonio Spurs,93
Indiana Pacers,99,Miami Heat,92
Miami Heat,90,Indiana Pacers,79
Indiana Pacers,91,Miami Heat,77
Miami Heat,99,Indiana Pacers,76
Miami Heat,88,San Antonio Spurs,92
Miami Heat,103,San Antonio Spurs,84
San Antonio Spurs,113,Miami Heat,77
San Antonio Spurs,93,Miami Heat,109
San Antonio Spurs,114,Miami Heat,104
Miami Heat,103,San Antonio Spurs,100
Miami Heat,95,San Antonio Spurs,88
