Home,Home Points,Visitor,Visitor Points
New Orleans Hornets,79,Oklahoma City Thunder,100
Milwaukee Bucks,91,Boston Celtics,88
San Antonio Spurs,99,Memphis Grizzlies,95
Dallas Mavericks,92,Detroit Pistons,77
Golden State Warriors,103,Indiana Pacers,92
Los Angeles Clippers,116,Sacramento Kings,81
New York Knicks,106,Phoenix Suns,99
Los Angeles Lakers,103,Orlando Magic,113
Charlotte Bobcats,112,Portland Trail Blazers,118
Detroit Pistons,89,Cleveland Cavaliers,79
New Orleans Hornets,102,Milwaukee Bucks,81
Denver Nuggets,113,Toronto Raptors,110
Utah Jazz,104,Los Angeles Clippers,105
Golden State Warriors,94,Orlando Magic,102
Philadelphia 76ers,88,Minnesota Timberwolves,105
Washington Wizards,105,Miami Heat,101
Brooklyn Nets,111,Oklahoma City Thunder,117
Chicago Bulls,76,Indiana Pacers,80
Houston Rockets,107,Los Angeles Lakers,105
Memphis Grizzlies,108,Phoenix Suns,98
Charlotte Bobcats,98,New York Knicks,100
Indiana Pacers,99,Portland Trail Blazers,92
Boston Celtics,104,Minnesota Timberwolves,94
Detroit Pistons,97,Golden State Warriors,104
Atlanta Hawks,108,Denver Nuggets,104
Cleveland Cavaliers,85,Chicago Bulls,95
New Orleans Hornets,87,Los Angeles Lakers,103
San Antonio Spurs,110,Milwaukee Bucks,99
Utah Jazz,87,Orlando Magic,81
Sacramento Kings,107,Toronto Raptors,100
Los Angeles Clippers,112,Dallas Mavericks,90
Miami Heat,92,New York Knicks,112
Phoenix Suns,94,Dallas Mavericks,97
Indiana Pacers,89,Denver Nuggets,92
Philadelphia 76ers,95,Boston Celtics,94
Atlanta Hawks,104,Washington Wizards,95
Brooklyn Nets,102,Golden State Warriors,109
Detroit Pistons,104,Chicago Bulls,108
Minnesota Timberwolves,91,Cleveland Cavaliers,73
New Orleans Hornets,89,Memphis Grizzlies,96
Milwaukee Bucks,108,Charlotte Bobcats,93
San Antonio Spurs,114,Houston Rockets,92
Utah Jazz,131,Toronto Raptors,99
Oklahoma City Thunder,114,Los Angeles Lakers,108
Sacramento Kings,91,Orlando Magic,82
Los Angeles Clippers,117,Phoenix Suns,99
Charlotte Bobcats,102,San Antonio Spurs,132
Washington Wizards,97,Golden State Warriors,101
Boston Celtics,92,Philadelphia 76ers,79
Cleveland Cavaliers,97,Detroit Pistons,104
Miami Heat,106,New Orleans Hornets,90
Chicago Bulls,93,New York Knicks,85
Houston Rockets,109,Dallas Mavericks,116
Memphis Grizzlies,83,Atlanta Hawks,93
Portland Trail Blazers,80,Sacramento Kings,99
Los Angeles Clippers,102,Toronto Raptors,83
Brooklyn Nets,88,Milwaukee Bucks,97
Oklahoma City Thunder,104,Indiana Pacers,93
New York Knicks,112,Denver Nuggets,106
Phoenix Suns,90,Orlando Magic,98
Los Angeles Lakers,110,Utah Jazz,117
Charlotte Bobcats,96,Golden State Warriors,104
Philadelphia 76ers,104,Detroit Pistons,97
Miami Heat,101,Atlanta Hawks,92
Houston Rockets,126,San Antonio Spurs,134
Dallas Mavericks,119,Sacramento Kings,96
Portland Trail Blazers,92,Toronto Raptors,74
Brooklyn Nets,97,New York Knicks,100
Cleveland Cavaliers,100,Los Angeles Lakers,94
Detroit Pistons,94,Denver Nuggets,101
New Orleans Hornets,70,Washington Wizards,77
Chicago Bulls,89,Los Angeles Clippers,94
Indiana Pacers,96,Cleveland Cavaliers,81
Orlando Magic,80,Atlanta Hawks,86
Toronto Raptors,88,Brooklyn Nets,94
Charlotte Bobcats,94,Los Angeles Clippers,100
Miami Heat,95,Golden State Warriors,97
Philadelphia 76ers,89,Chicago Bulls,96
Boston Celtics,117,Dallas Mavericks,115
Houston Rockets,99,Washington Wizards,93
Milwaukee Bucks,98,Sacramento Kings,85
Minnesota Timberwolves,108,Denver Nuggets,105
Oklahoma City Thunder,92,New Orleans Hornets,88
Phoenix Suns,82,Memphis Grizzlies,80
Utah Jazz,99,San Antonio Spurs,96
Atlanta Hawks,113,Charlotte Bobcats,90
New York Knicks,116,Los Angeles Lakers,107
Portland Trail Blazers,98,San Antonio Spurs,90
Indiana Pacers,95,Philadelphia 76ers,85
Orlando Magic,99,Golden State Warriors,85
Toronto Raptors,95,Dallas Mavericks,74
Washington Wizards,96,Los Angeles Lakers,102
Brooklyn Nets,107,Detroit Pistons,105
Cleveland Cavaliers,86,Milwaukee Bucks,90
Houston Rockets,101,Boston Celtics,89
New Orleans Hornets,102,Minnesota Timberwolves,113
Oklahoma City Thunder,113,Sacramento Kings,103
Phoenix Suns,99,Utah Jazz,84
Denver Nuggets,99,Memphis Grizzlies,94
Atlanta Hawks,93,Golden State Warriors,115
Charlotte Bobcats,98,Orlando Magic,107
Detroit Pistons,77,Indiana Pacers,88
Miami Heat,102,Washington Wizards,72
New York Knicks,103,Cleveland Cavaliers,102
Chicago Bulls,83,Brooklyn Nets,82
Minnesota Timberwolves,114,Dallas Mavericks,106
Milwaukee Bucks,85,Los Angeles Clippers,111
San Antonio Spurs,103,Boston Celtics,88
Utah Jazz,86,Memphis Grizzlies,99
Toronto Raptors,103,Houston Rockets,96
Philadelphia 76ers,98,Los Angeles Lakers,111
Sacramento Kings,97,Denver Nuggets,122
Portland Trail Blazers,95,New Orleans Hornets,94
Orlando Magic,102,Minnesota Timberwolves,93
Detroit Pistons,76,Los Angeles Clippers,88
New York Knicks,96,Houston Rockets,109
Memphis Grizzlies,80,Chicago Bulls,71
Oklahoma City Thunder,107,San Antonio Spurs,93
Phoenix Suns,101,Sacramento Kings,90
Cleveland Cavaliers,99,Toronto Raptors,113
Washington Wizards,95,Atlanta Hawks,100
Brooklyn Nets,90,Utah Jazz,92
Miami Heat,103,Minnesota Timberwolves,92
Chicago Bulls,100,Boston Celtics,89
Milwaukee Bucks,98,Indiana Pacers,93
Dallas Mavericks,107,Philadelphia 76ers,100
Denver Nuggets,112,San Antonio Spurs,106
Golden State Warriors,103,New Orleans Hornets,96
Los Angeles Lakers,101,Charlotte Bobcats,100
Indiana Pacers,104,Utah Jazz,84
New York Knicks,100,Brooklyn Nets,86
Orlando Magic,90,Washington Wizards,83
Toronto Raptors,97,Detroit Pistons,91
Atlanta Hawks,92,Oklahoma City Thunder,100
Boston Celtics,103,Cleveland Cavaliers,91
Houston Rockets,125,Philadelphia 76ers,103
Phoenix Suns,121,Charlotte Bobcats,104
Memphis Grizzlies,90,Milwaukee Bucks,80
Sacramento Kings,131,Golden State Warriors,127
Los Angeles Clippers,93,New Orleans Hornets,77
Minnesota Timberwolves,99,Oklahoma City Thunder,93
Dallas Mavericks,95,Miami Heat,110
Portland Trail Blazers,101,Denver Nuggets,93
Philadelphia 76ers,99,Atlanta Hawks,80
Toronto Raptors,93,Orlando Magic,90
Boston Celtics,94,Milwaukee Bucks,99
Cleveland Cavaliers,89,Indiana Pacers,99
Detroit Pistons,100,Washington Wizards,68
New York Knicks,106,Chicago Bulls,110
Memphis Grizzlies,92,Dallas Mavericks,82
San Antonio Spurs,99,New Orleans Hornets,94
Golden State Warriors,115,Charlotte Bobcats,100
Los Angeles Clippers,97,Sacramento Kings,85
Atlanta Hawks,92,Chicago Bulls,75
